TRBV1*01,TRBV1*01,0
TRBV10-1*01,TRBV1*01,53
TRBV10-1*02,TRBV1*01,55
TRBV10-2*01,TRBV1*01,57
TRBV10-2*02,TRBV1*01,57
TRBV10-3*01,TRBV1*01,57
TRBV10-3*02,TRBV1*01,57
TRBV10-3*03,TRBV1*01,57
TRBV10-3*04,TRBV1*01,57
TRBV11-1*01,TRBV1*01,55
TRBV11-2*01,TRBV1*01,56
TRBV11-2*02,TRBV1*01,56
TRBV11-2*03,TRBV1*01,56
TRBV11-3*01,TRBV1*01,49
TRBV11-3*02,TRBV1*01,49
TRBV11-3*03,TRBV1*01,49
TRBV12-1*01,TRBV1*01,44
TRBV12-2*01,TRBV1*01,40
TRBV12-3*01,TRBV1*01,38
TRBV12-4*01,TRBV1*01,39
TRBV12-4*02,TRBV1*01,39
TRBV12-5*01,TRBV1*01,43
TRBV13*01,TRBV1*01,48
TRBV13*02,TRBV1*01,48
TRBV14*01,TRBV1*01,50
TRBV14*02,TRBV1*01,50
TRBV15*01,TRBV1*01,34
TRBV15*02,TRBV1*01,34
TRBV15*03,TRBV1*01,34
TRBV16*01,TRBV1*01,51
TRBV16*02,TRBV1*01,47
TRBV16*03,TRBV1*01,51
TRBV17*01,TRBV1*01,50
TRBV18*01,TRBV1*01,55
TRBV19*01,TRBV1*01,54
TRBV19*02,TRBV1*01,53
TRBV19*03,TRBV1*01,53
TRBV2*01,TRBV1*01,40
TRBV2*02,TRBV1*01,40
TRBV2*03,TRBV1*01,40
TRBV20-1*01,TRBV1*01,53
TRBV20-1*02,TRBV1*01,53
TRBV20-1*03,TRBV1*01,53
TRBV20-1*04,TRBV1*01,53
TRBV20-1*05,TRBV1*01,53
TRBV20-1*06,TRBV1*01,53
TRBV20-1*07,TRBV1*01,53
TRBV20/OR9-2*01,TRBV1*01,45
TRBV20/OR9-2*02,TRBV1*01,45
TRBV20/OR9-2*03,TRBV1*01,45
TRBV21-1*01,TRBV1*01,47
TRBV21/OR9-2*01,TRBV1*01,43
TRBV23-1*01,TRBV1*01,48
TRBV23/OR9-2*01,TRBV1*01,49
TRBV23/OR9-2*02,TRBV1*01,48
TRBV24-1*01,TRBV1*01,52
TRBV24/OR9-2*01,TRBV1*01,52
